"crossover","mutation","elitism","mutation_prob","crossover_prob","best_fitness","best_solution"
"maximal_preservative","swap_mutation",0.2,0.1,0.9,-8864.12015200608,"47|13|14|52|11|51|12|28|27|26|25|4|43|33|10|9|8|41|32|1|22|21|17|7|2|42|30|29|50|20|23|31|18|3|19|45|49|36|35|37|48|24|5|6|15|38|40|39|34|44|46|16"
"maximal_preservative","swap_mutation",0.2,0.1,0.8,-8412.90267845017,"21|42|2|7|30|29|50|20|23|35|39|40|38|6|4|5|15|37|24|48|46|25|12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|3|17|18|32|49|36|34|44|16|1|22|31"
"maximal_preservative","swap_mutation",0.2,0.3,0.6,-8634.7365476911,"42|7|2|30|29|16|44|39|40|10|9|8|41|19|45|3|1|22|32|49|36|35|34|48|24|6|4|25|12|28|27|26|47|14|13|52|11|51|33|43|15|5|38|37|46|50|20|23|31|18|17|21"
"maximal_preservative","swap_mutation",0.2,0.3,0.9,-9251.80893345164,"41|8|19|45|3|18|21|23|31|22|1|44|46|4|33|10|9|43|15|48|24|38|40|39|32|49|36|35|34|37|5|6|25|28|12|51|11|52|14|13|27|26|47|29|16|50|20|30|42|2|7|17"
"maximal_preservative","swap_mutation",0.2,0.3,0.8,-8967.55254994635,"33|12|28|26|47|14|52|13|27|11|51|43|4|25|6|15|5|48|24|38|40|37|46|16|29|20|50|21|17|7|2|42|30|23|31|18|3|32|49|1|22|44|34|35|36|39|45|19|41|8|9|10"
"maximal_preservative","swap_mutation",0.2,0.2,0.6,-8526.34186356612,"42|7|2|29|47|14|52|13|27|26|28|11|51|12|25|4|6|5|15|43|33|10|9|8|41|19|45|3|17|21|23|31|18|22|1|32|49|36|35|34|39|40|37|38|24|48|46|44|16|50|20|30"
"maximal_preservative","swap_mutation",0.2,0.2,0.9,-8273.10658209448,"46|25|28|27|26|47|13|14|52|11|51|12|4|6|48|24|5|15|43|33|10|9|8|41|19|45|32|36|35|39|40|38|37|34|44|49|1|22|3|18|31|21|17|7|2|42|30|23|20|50|29|16"
"maximal_preservative","swap_mutation",0.2,0.2,0.8,-8193.02492278881,"33|51|11|12|28|26|27|13|52|14|47|29|20|50|16|46|25|4|6|15|5|24|48|38|37|40|39|34|44|35|36|49|32|1|22|18|31|23|30|42|7|2|21|17|3|45|19|41|8|9|10|43"
"maximal_preservative","swap_mutation",0.3,0.1,0.6,-7958.63615986713,"12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|39|36|35|34|44|16|29|30|2|7|42|21|17|3|18|31|22|32|49|1|23|20|50|46|37|40|38|48|24|5|15|6|4|25"
"maximal_preservative","swap_mutation",0.3,0.1,0.9,-8365.97362085407,"10|33|11|52|13|14|47|26|27|28|12|51|25|4|43|15|6|5|24|48|38|40|39|37|46|16|29|30|2|7|42|21|23|20|50|44|34|35|36|49|32|1|22|31|18|17|3|45|19|41|8|9"
"maximal_preservative","swap_mutation",0.3,0.1,0.8,-8145.91190088543,"29|30|42|2|7|17|21|23|20|50|16|46|44|34|35|36|49|32|1|22|31|18|3|45|19|41|8|9|10|33|43|38|40|39|37|48|24|5|15|6|4|25|28|12|51|11|52|14|13|27|26|47"
"maximal_preservative","swap_mutation",0.3,0.3,0.6,-9113.67915784324,"30|42|2|7|29|16|46|44|37|40|43|33|10|9|8|41|45|19|49|36|35|48|38|5|6|25|12|28|27|26|47|14|13|52|11|51|4|15|24|39|34|32|18|3|17|21|31|22|1|23|20|50"
"maximal_preservative","swap_mutation",0.3,0.3,0.9,-10056.7808270127,"29|30|2|7|42|21|23|1|49|33|51|12|28|25|4|6|15|5|24|46|48|38|40|37|39|36|35|34|22|31|18|17|3|43|10|9|8|41|19|45|32|44|20|50|16|47|14|13|52|11|27|26"
"maximal_preservative","swap_mutation",0.3,0.3,0.8,-8565.59600082457,"3|32|49|40|38|15|6|5|24|48|37|39|45|19|41|8|9|10|33|43|4|25|27|13|14|52|11|51|12|28|26|47|29|20|50|16|46|44|34|35|36|1|22|18|31|23|30|2|7|42|21|17"
"maximal_preservative","swap_mutation",0.3,0.2,0.6,-8731.34193766334,"12|28|27|26|47|13|14|52|11|51|33|4|25|6|15|5|38|37|40|39|36|35|34|44|16|46|48|24|43|10|9|8|41|19|45|32|49|1|22|23|20|50|29|30|2|7|42|21|17|3|31|18"
"maximal_preservative","swap_mutation",0.3,0.2,0.9,-8190.32523321524,"41|8|10|9|43|33|51|11|52|13|14|47|26|27|28|12|25|4|6|15|5|24|48|38|40|36|35|49|32|1|22|21|17|7|2|42|30|29|44|34|39|37|46|16|50|20|23|31|18|3|45|19"
"maximal_preservative","swap_mutation",0.3,0.2,0.8,-8794.11009904573,"51|11|12|28|27|13|52|14|47|26|46|44|1|31|21|42|2|7|17|3|18|22|16|29|50|20|30|23|32|49|36|35|34|39|37|48|24|25|4|6|15|5|38|40|45|19|41|8|9|10|43|33"
"maximal_preservative","inverse_mutation",0.1,0.1,0.6,-8551.07838832681,"26|27|28|25|4|33|43|15|6|5|24|48|38|40|39|37|46|44|34|35|36|49|1|22|32|45|19|10|9|8|41|3|18|31|21|17|7|2|42|30|23|20|50|29|16|12|51|11|52|14|13|47"
"maximal_preservative","inverse_mutation",0.1,0.1,0.9,-10530.5559549981,"27|25|6|4|24|48|38|15|43|19|45|32|18|17|3|41|8|10|9|40|20|16|50|44|37|39|36|35|34|1|49|22|31|23|30|21|42|7|2|29|46|5|33|51|12|28|11|52|14|13|47|26"
"maximal_preservative","inverse_mutation",0.1,0.1,0.8,-8161.52755118105,"30|2|7|42|17|3|18|31|22|32|49|1|23|20|50|29|16|44|35|36|34|39|40|37|38|6|4|15|5|24|48|46|25|12|28|27|26|47|14|13|52|11|51|33|43|10|9|8|41|19|45|21"
"maximal_preservative","inverse_mutation",0.1,0.3,0.6,-8730.41124441388,"29|20|23|21|42|7|2|30|31|18|17|3|45|19|41|8|10|9|43|33|51|11|52|13|14|47|26|27|28|12|46|48|24|40|5|6|38|4|25|15|37|36|35|1|22|32|49|39|34|44|16|50"
"maximal_preservative","inverse_mutation",0.1,0.3,0.9,-10182.8119752341,"45|8|10|43|12|27|13|26|28|47|14|52|11|51|33|9|41|19|3|18|17|42|7|2|21|31|1|49|22|23|50|30|29|16|20|32|34|36|35|44|46|15|6|24|48|25|4|5|39|37|38|40"
"maximal_preservative","inverse_mutation",0.1,0.3,0.8,-9490.40021683374,"28|27|13|52|14|47|26|16|20|31|22|32|19|45|9|10|8|41|18|3|17|21|2|7|42|30|29|50|23|1|49|39|35|36|44|34|37|38|40|46|48|24|5|15|6|4|43|33|25|12|51|11"
"maximal_preservative","inverse_mutation",0.1,0.2,0.6,-8216.25561199615,"20|16|29|30|42|2|7|21|31|18|17|3|41|19|45|8|9|10|43|33|51|11|52|14|13|47|26|27|28|12|25|4|6|15|5|48|24|38|40|37|46|44|34|36|39|35|1|22|49|32|23|50"
"maximal_preservative","inverse_mutation",0.1,0.2,0.9,-10233.1217973521,"6|15|38|37|40|31|18|19|41|45|3|32|22|49|1|21|17|7|2|42|30|23|20|50|16|29|46|35|24|36|34|44|39|48|25|4|8|10|9|43|33|51|28|27|26|47|13|14|52|11|12|5"
"maximal_preservative","inverse_mutation",0.1,0.2,0.8,-8597.69758758788,"45|19|8|10|9|41|3|17|18|31|50|20|23|21|42|2|7|30|29|16|44|22|1|34|39|43|33|51|11|52|13|14|47|26|27|28|12|25|4|6|15|5|24|38|37|46|48|40|35|36|49|32"
"maximal_preservative","inverse_mutation",0.2,0.1,0.6,-7749.8808416571,"10|9|8|41|19|45|3|17|21|42|7|2|30|29|16|46|44|50|20|23|31|18|22|1|32|49|36|35|34|39|40|37|38|48|24|5|15|6|4|25|12|28|27|26|47|13|14|52|11|51|33|43"
"maximal_preservative","inverse_mutation",0.2,0.1,0.9,-8312.7587754032,"13|14|47|26|27|28|12|25|5|24|49|32|1|22|31|18|45|19|8|9|10|41|3|17|21|7|2|42|30|23|20|50|29|16|44|34|36|35|39|40|38|37|46|48|15|6|4|43|33|51|11|52"
"maximal_preservative","inverse_mutation",0.2,0.1,0.8,-8087.0452541433,"51|11|12|28|26|27|13|52|14|47|29|16|50|20|23|30|2|7|42|21|17|3|18|31|22|1|32|49|36|35|34|44|46|25|4|6|15|5|24|48|38|37|40|39|45|19|41|8|9|10|43|33"
"maximal_preservative","inverse_mutation",0.2,0.3,0.6,-9118.58167124928,"31|18|17|3|19|41|8|10|9|45|43|33|51|11|12|28|27|13|52|14|26|47|46|6|5|15|25|4|38|24|48|37|40|39|36|49|1|32|34|35|44|16|29|30|7|2|42|21|23|50|20|22"
"maximal_preservative","inverse_mutation",0.2,0.3,0.9,-9133.72364230515,"45|19|41|8|9|10|43|33|51|11|12|28|27|13|52|14|47|26|50|31|17|3|18|21|42|2|7|30|23|22|1|40|39|37|38|15|48|24|4|5|6|25|46|16|29|20|44|34|35|36|49|32"
"maximal_preservative","inverse_mutation",0.2,0.3,0.8,-9254.27559579415,"45|19|41|8|10|9|33|43|4|51|12|28|11|13|52|14|47|26|27|25|24|34|35|36|40|38|15|5|6|48|46|44|16|50|20|29|30|23|21|2|42|7|17|3|18|31|22|1|32|49|39|37"
