"crossover","mutation","elitism","mutation_prob","crossover_prob","best_fitness","best_solution"
"adaptive_greedy_subpath","swap_mutation",0.2,0.1,0.6,-7544.36590190409,"44|34|35|36|39|40|37|38|48|24|5|15|6|4|25|12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46"
"adaptive_greedy_subpath","swap_mutation",0.2,0.1,0.8,-8144.45234424027,"7|2|42|30|29|22|1|49|32|45|19|41|8|9|10|43|33|12|28|27|26|47|13|14|52|11|51|25|4|6|5|15|24|48|38|40|37|39|36|35|34|44|46|16|50|20|23|31|18|3|17|21"
"adaptive_greedy_subpath","swap_mutation",0.2,0.2,0.9,-7544.36590190409,"51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44|34|35|36|39|40|37|38|48|24|5|15|6|4|25|12|28|27|26|47|13|14|52|11"
"adaptive_greedy_subpath","swap_mutation",0.2,0.2,0.6,-7544.36590190409,"47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44|34|35|36|39|40|37|38|48|24|5|15|6|4|25|12|28|27|26"
"adaptive_greedy_subpath","swap_mutation",0.2,0.2,0.8,-7548.99271002418,"25|12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44|34|35|36|39|40|38|37|48|24|5|15|6|4"
"adaptive_greedy_subpath","swap_mutation",0.2,0.3,0.9,-7548.99271002418,"27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44|34|35|36|39|40|38|37|48|24|5|15|6|4|25|12|28"
"adaptive_greedy_subpath","swap_mutation",0.2,0.3,0.6,-7853.24789440323,"28|27|26|47|13|14|52|11|12|25|4|6|5|15|24|48|38|40|37|39|36|35|34|44|46|16|29|50|20|23|30|42|7|2|21|17|3|18|31|22|1|49|32|45|19|41|8|9|10|43|33|51"
"adaptive_greedy_subpath","swap_mutation",0.2,0.3,0.8,-7544.36590190409,"34|35|36|39|40|37|38|48|24|5|15|6|4|25|12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44"
"adaptive_greedy_subpath","swap_mutation",0.3,0.1,0.9,-7544.36590190409,"46|44|34|35|36|39|40|37|38|48|24|5|15|6|4|25|12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16"
"adaptive_greedy_subpath","swap_mutation",0.3,0.1,0.6,-7548.99271002418,"44|34|35|36|39|40|38|37|48|24|5|15|6|4|25|12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21|42|7|2|30|23|20|50|29|16|46"
"adaptive_greedy_subpath","swap_mutation",0.3,0.1,0.8,-7544.36590190409,"42|7|2|30|23|20|50|29|16|46|44|34|35|36|39|40|37|38|48|24|5|15|6|4|25|12|28|27|26|47|13|14|52|11|51|33|43|10|9|8|41|19|45|32|49|1|22|31|18|3|17|21"
