"crossover","mutation","elitism","mutation_prob","crossover_prob","best_fitness","best_solution"
"partially_matched","insert_mutation",0.1,0.2,0.8,-10417.7759960119,"1|35|36|39|49|48|46|16|29|52|11|51|33|43|10|9|8|19|40|15|6|4|12|27|13|14|47|26|28|25|24|38|37|5|34|44|50|20|30|42|7|2|17|3|41|45|32|23|21|18|31|22"
"partially_matched","insert_mutation",0.1,0.2,0.9,-10026.2810257902,"50|20|30|29|16|27|13|14|52|11|51|12|28|47|26|25|24|40|39|36|35|1|32|49|46|48|5|6|4|33|43|15|38|37|34|44|23|21|7|2|42|45|10|9|8|41|19|3|17|18|31|22"
"partially_matched","insert_mutation",0.1,0.3,0.6,-10044.9727826393,"44|39|48|37|40|38|5|6|15|4|43|33|51|28|27|26|46|22|31|21|42|2|7|17|3|41|10|9|8|19|45|18|30|20|50|16|29|47|13|14|52|11|12|25|24|35|23|1|49|32|36|34"
"partially_matched","insert_mutation",0.1,0.3,0.8,-10500.6573399432,"36|39|32|49|35|44|46|25|12|28|14|52|13|29|42|7|2|17|3|19|43|33|51|11|27|26|47|16|50|20|30|23|21|31|22|1|18|8|10|9|41|45|5|6|4|15|48|24|38|40|37|34"
"partially_matched","insert_mutation",0.1,0.3,0.9,-10201.1721270875,"39|36|21|23|20|50|29|46|12|51|28|27|26|47|13|14|52|11|33|9|10|43|4|40|32|31|30|2|42|7|17|45|19|8|41|3|18|22|1|49|34|44|16|35|37|48|25|6|15|5|24|38"
"partially_matched","insert_mutation",0.2,0.1,0.6,-9493.9532143074,"46|44|16|50|20|23|1|18|3|17|21|31|22|35|34|37|5|15|43|33|10|9|8|41|19|45|32|49|36|39|40|38|48|24|6|4|28|27|26|30|42|7|2|29|47|14|13|52|11|51|12|25"
"partially_matched","insert_mutation",0.2,0.1,0.8,-9145.79488590001,"49|36|35|34|44|1|22|18|31|23|20|50|16|29|30|2|7|42|21|17|3|15|5|6|4|43|41|8|9|10|33|51|12|28|27|11|52|14|13|47|26|25|46|48|24|38|37|40|39|45|19|32"
"partially_matched","insert_mutation",0.2,0.1,0.9,-8318.9848967281,"44|46|25|4|6|15|5|24|48|38|37|40|39|45|19|41|8|9|10|43|33|51|11|52|14|13|47|26|27|28|12|16|31|18|3|17|21|42|7|2|30|29|50|20|23|22|1|32|49|36|35|34"
"partially_matched","insert_mutation",0.2,0.2,0.6,-9555.27621665277,"36|32|45|19|41|8|43|15|5|24|44|50|30|2|7|42|21|31|22|1|49|35|34|16|29|47|26|11|52|14|13|27|28|12|51|33|10|9|3|17|18|23|20|46|25|4|6|48|38|37|40|39"
"partially_matched","insert_mutation",0.2,0.2,0.8,-9836.26523427796,"23|21|31|18|22|1|49|40|38|5|15|45|19|32|46|26|27|28|12|51|43|10|9|8|41|3|17|42|7|2|30|50|16|29|47|13|14|52|11|33|4|25|6|24|48|37|39|36|35|34|44|20"
"partially_matched","insert_mutation",0.2,0.2,0.9,-9273.60836049048,"22|1|44|46|28|11|52|14|13|27|26|47|24|48|25|12|51|33|43|38|37|34|35|32|49|36|39|40|15|5|6|4|10|9|8|41|19|45|3|17|21|42|7|2|30|29|16|50|20|23|31|18"
"partially_matched","insert_mutation",0.2,0.3,0.6,-8128.27147898701,"4|25|12|28|27|26|47|14|13|52|11|51|33|43|10|9|8|41|19|45|3|17|18|31|22|1|32|39|40|38|24|48|46|50|20|23|21|42|7|2|30|29|16|44|49|36|35|34|37|5|15|6"
"partially_matched","insert_mutation",0.2,0.3,0.8,-9175.71354612348,"34|35|44|50|20|23|30|29|16|46|25|9|10|8|41|19|45|43|33|51|11|52|14|13|27|28|26|47|12|4|15|1|22|31|21|7|2|42|17|3|18|32|49|36|38|5|6|24|48|37|40|39"
"partially_matched","insert_mutation",0.2,0.3,0.9,-10106.352555793,"44|35|36|49|32|1|22|18|3|41|8|19|45|43|33|51|11|46|16|20|23|31|21|17|42|7|2|30|29|50|10|9|4|12|28|27|13|52|14|47|26|25|6|15|5|24|48|38|40|39|37|34"
"partially_matched","insert_mutation",0.3,0.1,0.6,-9596.51646133984,"6|4|33|43|15|38|37|40|39|32|18|17|3|45|25|12|51|11|52|14|13|27|28|26|47|29|50|44|34|36|35|10|9|8|41|19|22|1|49|31|23|21|42|7|2|30|20|16|46|48|24|5"
"partially_matched","insert_mutation",0.3,0.1,0.8,-8361.79541404286,"40|38|43|33|10|9|8|41|19|45|15|5|6|4|25|12|51|11|52|14|13|27|28|26|47|29|30|2|7|42|21|17|3|18|31|23|20|50|16|1|22|32|49|36|37|24|48|46|44|34|35|39"
